,tweet_text,label,cleaned_tweet,tokens,stopwords_tokens,stemmed_tokens,lemmatized_tokens
0,"@CBCAlerts EMBARRASSING Crimea Russia everything is open business as usual. Ontario reporting 4250 cases of #COVID19 1392 new cases in Toronto #lockdown Closed business, Church ,no family, No Hope #MentalHealth Canada get out of Syria #SputnikV 91.6% effective #Jesus https://t.co/jsi3umF2Xf",1, embarrassing crimea russia everything is open business as usual ontario reporting  cases of   new cases in toronto  closed business church no family no hope  canada get out of syria   effective  ,"['embarrassing', 'crimea', 'russia', 'everything', 'is', 'open', 'business', 'as', 'usual', 'ontario', 'reporting', 'cases', 'of', 'new', 'cases', 'in', 'toronto', 'closed', 'business', 'church', 'no', 'family', 'no', 'hope', 'canada', 'get', 'out', 'of', 'syria', 'effective']","['embarrassing', 'crimea', 'russia', 'everything', 'open', 'business', 'usual', 'ontario', 'reporting', 'cases', 'new', 'cases', 'toronto', 'closed', 'business', 'church', 'family', 'hope', 'canada', 'get', 'syria', 'effective']","['embarrass', 'crimea', 'russia', 'everyth', 'open', 'busi', 'usual', 'ontario', 'report', 'case', 'new', 'case', 'toronto', 'close', 'busi', 'church', 'famili', 'hope', 'canada', 'get', 'syria', 'effect']","['embarrassing', 'crimea', 'russia', 'everything', 'open', 'business', 'usual', 'ontario', 'reporting', 'case', 'new', 'case', 'toronto', 'closed', 'business', 'church', 'family', 'hope', 'canada', 'get', 'syria', 'effective']"
1,"@ColinDMello EMBARRASSING Moscow Russia everything is open business as usual. Ontario reporting 4447 cases of #COVID19 1299 new cases in Toronto #lockdown Closed business, Church ,no family, No Hope #MentalHealth Canada get out of Syria #SputnikV 91.6% effective #Jesus https://t.co/6nIxZMtBns",1, embarrassing moscow russia everything is open business as usual ontario reporting  cases of   new cases in toronto  closed business church no family no hope  canada get out of syria   effective  ,"['embarrassing', 'moscow', 'russia', 'everything', 'is', 'open', 'business', 'as', 'usual', 'ontario', 'reporting', 'cases', 'of', 'new', 'cases', 'in', 'toronto', 'closed', 'business', 'church', 'no', 'family', 'no', 'hope', 'canada', 'get', 'out', 'of', 'syria', 'effective']","['embarrassing', 'moscow', 'russia', 'everything', 'open', 'business', 'usual', 'ontario', 'reporting', 'cases', 'new', 'cases', 'toronto', 'closed', 'business', 'church', 'family', 'hope', 'canada', 'get', 'syria', 'effective']","['embarrass', 'moscow', 'russia', 'everyth', 'open', 'busi', 'usual', 'ontario', 'report', 'case', 'new', 'case', 'toronto', 'close', 'busi', 'church', 'famili', 'hope', 'canada', 'get', 'syria', 'effect']","['embarrassing', 'moscow', 'russia', 'everything', 'open', 'business', 'usual', 'ontario', 'reporting', 'case', 'new', 'case', 'toronto', 'closed', 'business', 'church', 'family', 'hope', 'canada', 'get', 'syria', 'effective']"
2,"Moderna (two-dose) vaccine available at CVS Pharmacy 727 S. ARROYO PARKWAY PASADENA, CA 91105 on Friday: April 02, 2021. Schedule here: https://t.co/hFBqsDT7y6 #Moderna #Pasadena #PASADENA #California #Covid #Vaccine #Appointments #vaccinebot",1,moderna twodose vaccine available at cvs pharmacy  s arroyo parkway pasadena ca  on friday april   schedule here         ,"['moderna', 'twodose', 'vaccine', 'available', 'at', 'cvs', 'pharmacy', 's', 'arroyo', 'parkway', 'pasadena', 'ca', 'on', 'friday', 'april', 'schedule', 'here']","['moderna', 'twodose', 'vaccine', 'available', 'cvs', 'pharmacy', 'arroyo', 'parkway', 'pasadena', 'ca', 'friday', 'april', 'schedule']","['moderna', 'twodos', 'vaccin', 'avail', 'cv', 'pharmaci', 'arroyo', 'parkway', 'pasadena', 'ca', 'friday', 'april', 'schedul']","['moderna', 'twodose', 'vaccine', 'available', 'cv', 'pharmacy', 'arroyo', 'parkway', 'pasadena', 'ca', 'friday', 'april', 'schedule']"
3,"Message is loud and clear, go for Vaccination. It's safe.

#Covaxin https://t.co/QkYJSwE4G4",1,"message is loud and clear go for vaccination its safe

 ","['message', 'is', 'loud', 'and', 'clear', 'go', 'for', 'vaccination', 'its', 'safe']","['message', 'loud', 'clear', 'go', 'vaccination', 'safe']","['messag', 'loud', 'clear', 'go', 'vaccin', 'safe']","['message', 'loud', 'clear', 'go', 'vaccination', 'safe']"
4,"Second shot of #Moderna ?
Sore arm ?

IEEm smiling really hard underneath my mask during my 15 min waiting period. 

Thank you @okchealth for an efficient, quick set up! https://t.co/suJ7keS3AB",1,"second shot of  
sore arm 

ieem smiling really hard underneath my mask during my  min waiting period 

thank you  for an efficient quick set up ","['second', 'shot', 'of', 'sore', 'arm', 'ieem', 'smiling', 'really', 'hard', 'underneath', 'my', 'mask', 'during', 'my', 'min', 'waiting', 'period', 'thank', 'you', 'for', 'an', 'efficient', 'quick', 'set', 'up']","['second', 'shot', 'sore', 'arm', 'ieem', 'smiling', 'really', 'hard', 'underneath', 'mask', 'min', 'waiting', 'period', 'thank', 'efficient', 'quick', 'set']","['second', 'shot', 'sore', 'arm', 'ieem', 'smile', 'realli', 'hard', 'underneath', 'mask', 'min', 'wait', 'period', 'thank', 'effici', 'quick', 'set']","['second', 'shot', 'sore', 'arm', 'ieem', 'smiling', 'really', 'hard', 'underneath', 'mask', 'min', 'waiting', 'period', 'thank', 'efficient', 'quick', 'set']"
5,"@larainenewman @Union_2019AD Yep. Knocked out cold and felt like I was dead but in horrible pain, for about 20 hours. Felt bad on Day2 but could work OK. Day 3 and still don't feel great but head's clear and appetite is good. #Moderna",0,  yep knocked out cold and felt like i was dead but in horrible pain for about  hours felt bad on day but could work ok day  and still dont feel great but heads clear and appetite is good ,"['yep', 'knocked', 'out', 'cold', 'and', 'felt', 'like', 'i', 'was', 'dead', 'but', 'in', 'horrible', 'pain', 'for', 'about', 'hours', 'felt', 'bad', 'on', 'day', 'but', 'could', 'work', 'ok', 'day', 'and', 'still', 'dont', 'feel', 'great', 'but', 'heads', 'clear', 'and', 'appetite', 'is', 'good']","['yep', 'knocked', 'cold', 'felt', 'like', 'dead', 'horrible', 'pain', 'hours', 'felt', 'bad', 'day', 'could', 'work', 'ok', 'day', 'still', 'dont', 'feel', 'great', 'heads', 'clear', 'appetite', 'good']","['yep', 'knock', 'cold', 'felt', 'like', 'dead', 'horribl', 'pain', 'hour', 'felt', 'bad', 'day', 'could', 'work', 'ok', 'day', 'still', 'dont', 'feel', 'great', 'head', 'clear', 'appetit', 'good']","['yep', 'knocked', 'cold', 'felt', 'like', 'dead', 'horrible', 'pain', 'hour', 'felt', 'bad', 'day', 'could', 'work', 'ok', 'day', 'still', 'dont', 'feel', 'great', 'head', 'clear', 'appetite', 'good']"
6,Holy hell that second dose of #moderna is no joke??? #vaccinated but #exhausted,0,holy hell that second dose of  is no joke  but ,"['holy', 'hell', 'that', 'second', 'dose', 'of', 'is', 'no', 'joke', 'but']","['holy', 'hell', 'second', 'dose', 'joke']","['holi', 'hell', 'second', 'dose', 'joke']","['holy', 'hell', 'second', 'dose', 'joke']"
7,"Without the report of the coroner, or the report of attending physician, the #HongKong EEexpertEE panel claimed the  death of the 1st victim, who died 2 days after receiving #Coronavirus jab, does not linked to China-made vaccine #Sinovac.
ItEEs always othersEE fault, not ChinaEEs. https://t.co/VvJpYqUbnZ https://t.co/UD47kYIM06",0,"without the report of the coroner or the report of attending physician the  eeexpertee panel claimed the  death of the st victim who died  days after receiving  jab does not linked to chinamade vaccine 
itees always othersee fault not chinaees  ","['without', 'the', 'report', 'of', 'the', 'coroner', 'or', 'the', 'report', 'of', 'attending', 'physician', 'the', 'eeexpertee', 'panel', 'claimed', 'the', 'death', 'of', 'the', 'st', 'victim', 'who', 'died', 'days', 'after', 'receiving', 'jab', 'does', 'not', 'linked', 'to', 'chinamade', 'vaccine', 'itees', 'always', 'othersee', 'fault', 'not', 'chinaees']","['without', 'report', 'coroner', 'report', 'attending', 'physician', 'eeexpertee', 'panel', 'claimed', 'death', 'st', 'victim', 'died', 'days', 'receiving', 'jab', 'linked', 'chinamade', 'vaccine', 'itees', 'always', 'othersee', 'fault', 'chinaees']","['without', 'report', 'coron', 'report', 'attend', 'physician', 'eeexperte', 'panel', 'claim', 'death', 'st', 'victim', 'die', 'day', 'receiv', 'jab', 'link', 'chinamad', 'vaccin', 'ite', 'alway', 'otherse', 'fault', 'chinae']","['without', 'report', 'coroner', 'report', 'attending', 'physician', 'eeexpertee', 'panel', 'claimed', 'death', 'st', 'victim', 'died', 'day', 'receiving', 'jab', 'linked', 'chinamade', 'vaccine', 'itees', 'always', 'othersee', 'fault', 'chinaees']"
8,"#COVID19:  AstraZeneca compared to Pfizer, Moderna &amp; JohnsonandJohnson; bottom line, it's a good vaccine.
#COVID19Vaccine #CovidVaccine #AstraZeneca #astrazenecavaccine  #Pfizer #PfizerBiontech #Moderna #JohnsonandJohnson #pandemic #EU #UK 
https://t.co/YVj9MibjNB",1,"  astrazeneca compared to pfizer moderna amp johnsonandjohnson bottom line its a good vaccine
            
","['astrazeneca', 'compared', 'to', 'pfizer', 'moderna', 'amp', 'johnsonandjohnson', 'bottom', 'line', 'its', 'a', 'good', 'vaccine']","['astrazeneca', 'compared', 'pfizer', 'moderna', 'amp', 'johnsonandjohnson', 'bottom', 'line', 'good', 'vaccine']","['astrazeneca', 'compar', 'pfizer', 'moderna', 'amp', 'johnsonandjohnson', 'bottom', 'line', 'good', 'vaccin']","['astrazeneca', 'compared', 'pfizer', 'moderna', 'amp', 'johnsonandjohnson', 'bottom', 'line', 'good', 'vaccine']"
9,"Dont get upset at @IvankaTrump for her jab. It appears she is using a safe company out of germany. BioNtech. Not the poision big pharma pushed on us. She is trying to tell us there are other options. Safer ones. Do your research. 
#COVID19 
#AstraZeneca 
#Pfizer 
#moderna",0,"dont get upset at  for her jab it appears she is using a safe company out of germany biontech not the poision big pharma pushed on us she is trying to tell us there are other options safer ones do your research 
 
 
 
","['dont', 'get', 'upset', 'at', 'for', 'her', 'jab', 'it', 'appears', 'she', 'is', 'using', 'a', 'safe', 'company', 'out', 'of', 'germany', 'biontech', 'not', 'the', 'poision', 'big', 'pharma', 'pushed', 'on', 'us', 'she', 'is', 'trying', 'to', 'tell', 'us', 'there', 'are', 'other', 'options', 'safer', 'ones', 'do', 'your', 'research']","['dont', 'get', 'upset', 'jab', 'appears', 'using', 'safe', 'company', 'germany', 'biontech', 'poision', 'big', 'pharma', 'pushed', 'us', 'trying', 'tell', 'us', 'options', 'safer', 'ones', 'research']","['dont', 'get', 'upset', 'jab', 'appear', 'use', 'safe', 'compani', 'germani', 'biontech', 'poision', 'big', 'pharma', 'push', 'us', 'tri', 'tell', 'us', 'option', 'safer', 'one', 'research']","['dont', 'get', 'upset', 'jab', 'appears', 'using', 'safe', 'company', 'germany', 'biontech', 'poision', 'big', 'pharma', 'pushed', 'u', 'trying', 'tell', 'u', 'option', 'safer', 'one', 'research']"
