,label,cleaned_tweet
0,1, embarrassing crimea russia everything is open business as usual ontario reporting  cases of   new cases in toronto  closed business church no family no hope  canada get out of syria   effective  
1,1, embarrassing moscow russia everything is open business as usual ontario reporting  cases of   new cases in toronto  closed business church no family no hope  canada get out of syria   effective  
2,1,moderna twodose vaccine available at cvs pharmacy  s arroyo parkway pasadena ca  on friday april   schedule here         
3,1,"message is loud and clear go for vaccination its safe

 "
4,1,"second shot of  
sore arm 

ieem smiling really hard underneath my mask during my  min waiting period 

thank you  for an efficient quick set up "
5,0,  yep knocked out cold and felt like i was dead but in horrible pain for about  hours felt bad on day but could work ok day  and still dont feel great but heads clear and appetite is good 
6,0,holy hell that second dose of  is no joke  but 
7,0,"without the report of the coroner or the report of attending physician the  eeexpertee panel claimed the  death of the st victim who died  days after receiving  jab does not linked to chinamade vaccine 
itees always othersee fault not chinaees  "
8,1,"  astrazeneca compared to pfizer moderna amp johnsonandjohnson bottom line its a good vaccine
            
"
9,0,"dont get upset at  for her jab it appears she is using a safe company out of germany biontech not the poision big pharma pushed on us she is trying to tell us there are other options safer ones do your research 
 
 
 
"
10,1,"having been through both  and had the   i can tell you i would rather have two days of a bit of a temperature and fatigue than the two weeks of raging fever oxygen depletion and worrying if you will make it

 "
11,0,"just for the record
when someone dies by kovid is a tremendous news but when someone dies or has collateral effects after being vaxeenated its a coincidence wow media think were dumbs

       "
12,0,got the first vaccine yay it gave me pink eye    now i doneet want the second dose 
13,0,     after taking the vaccines ppl are getting infected within  days even after wearing masks many of my relatives are infected severely and admitted into hospital what is the use of such vaccines vax is causing more cases
14,0,        the vaccine is experiential only complete dipshits will blindly trust big pharma the same people killed mothers sisters and daughters with their baby powders and then lied about it
15,1,"


got my  of  
  i encourage all eligible citizens to come forward and get vaccinated  yes i am eligible for vaccination "
16,0,"can someone pls fact check the rumour that allegedly had some bjmp people got injected with  and they died thanks 
     "
17,1,"get vaccinated 


  "
18,1,"for safety of everyone in my orbiteei my loved ones amp strangers who walk by me outsideeetoday i got  

 but take time pls do    amp if possible  during this   emergency "
19,1,just got my first  vaccine shot today its been about  hours and im feeling completely normal
20,0,"jim bussel in nytimes few covid vaccine recipients developed itp   
 "
21,0,"always said they rushed the vaccine but no i trusted the scientists and let them inject the shit in and now if i get a second one it might kill me fuck that shit fuck that noise fuck maybe thats why i feel so off atm maybe i have blood clots
 murderers"
22,1, has provided for free technological transfer of its technology to produce s   to more than  countries unlike some others sputnik v believes in true partnership with many countries on vaccine production 
23,0,"another  people in  fell ill  had to be put in intensive care after receiving chinese vaccine  shots one of them a yrold man is in critical condition
there are total  ppl have sought medical attention after receiving the vaccines over the past week  "
24,1, on tuesday received a new batch of coronavac  from chinese pharmaceutical firm  along with epidemic prevention materials donated by china to bolster its immunization drive against  
25,0," then consider why is  vaccine not suspended

 vaccine is linked to more deaths then  so in principle  should have suspended  rollout so why not

   

"
26,1,"merkel on sputnik v vaccine i think it should be used in eu once its registered 

  
"
27,1, only  of canada is fully vaccinated to save lives we need faster supply and faster deliver why not use motorcoaches as they do in europe and the usa as mobile vaccination clinics          
28,1,best day ever i got my first dose of vaccine   
29,1,look what i got      
30,1,all done and dusted     thanks you  and the vaccination team   
31,0,"is the  vaccine safe a doctors view

eethere is a higher chance of you developing a blood clot without having had the vaccineee

 via "
32,0,my arm is killing me  
33,0,"several european countries have temporarily suspended the   as precaution after some cases of  

investigation is needed but

to date there is no evidence of causeeffect
there have been  cases among  million vaccinated people "
34,0,anyone else feel like they were hit by a mack truck after dose  
35,0,happy easter everyone   my arm is killing me from this   vaccine shot 
36,1,the  vaccine developed by chinas  has been approved for emergency use in the  the maldives food and drug administration mfda announced monday afternoon 
37,1," says  vaccine will arrive in  next week and is more flexible in being broken into a number of doses that are more portable than  vaccine
 
"
38,0,"neither  nor  vaxx are worthy
 amp  both have financial interests in these  companies so none of the above can be trusted nor supported "
39,1,thank you    and   feeling incredibly grateful today     
40,0,"
khameneiees red crescent announced a ban on the import of    costs peopleees lives ampis tantamount to their deliberate  
"
41,1,moderna shot  this morning afterward i did pull ups to keep the arm from getting too sore we will see    
42,0,"     

good  efficacy based  cases   that too is an interim data

meanwhile millions had been injected with this already"
43,1,so we dress up for the  appointments like people used to for airplane flights right i wanna get the etiquette right when i join the  club next week
44,1,first vaccine dose today make sure to register when youeere eligible   
45,1," effective against mutant virus strains icmr 

thanks to dr  jee amp health minister dr harsh vardhan jee for promoting indias first indigenous covid vaccine from bharat biotech  ee 

 "
46,1, i really wish now people will aware and give their interest to take our vaccine
47,1,finally had my vaccination 
48,0," asked other  makers to join a study of blood clot risks but  and  declined  and only  got on boardÁE 

"
49,1, embarrassing moscow russia everything is open business as usual ontario canada reporting  cases of   new cases in toronto  closed business church no family no hope  canada get out of syria   effective 
50,0,anyone on team  get their ass kicked by the first dose i got mine yesterday and im fucking beat
51,1," very well articulated sir
now the augmented production approval at a pune facility shd go a long way to reduce vaccine hesitancy as well as any perceived shortfalls
thx for sharing sir
btw
i took 
"
52,1, i received my first shot   and scheduled to have second shot in april thanks   
53,1,"indian vaccine already in use found  effective 
 which was codeveloped by hyderabadbased bharat biotech international ltd and the indian council of medical research showed an efficacy rate of  in those without prior infection after a second dose"
54,0," a health worker in  suffered a serious  reaction after getting    and is now hospitalised



"
55,0,"why are deaths post vaccine not available for the world to see because if they were the corrupt big club investors would not get a sufficient return on their money when will people wake up
      "
56,0, family of italian woman who died after   launch legal action 
57,0,"now   too  less effective against  

"
58,0,"here is this ladys story about her mother that sadly passed away after getting the moderna mrna jab

know the risks
do your own research

vaccinesmrna jabs do harm and kill






"
59,0,"ive just had the    days ago amp ive had  which gave me blood clots am i more at riskwish id known this  
   reports in europe prompt investigation into oxfordastrazeneca vaccine  "
60,1,"pm 
receives first dose of    at  delhi appeals to all those who are eligible to take the vaccine
  
    

 
 "
61,1,and  dose  is done  
62,1,just got first  and feel grateful for science the amazing capacity for human innovation makes me optimistic we can tackle the worldees hardest problems like the  thanks  
63,0,  of   may be a delayed skin  doctors warn  via 
64,0,there were six deaths during the late stage  trials but the fda says this raised no safety concerns
65,0,i spoke too soon about having little impact from the nd covid shot   up this morning and feel like i got hit by a mack truck horrible chills and shakes although theyve calmed down in the last couple hours fever joint pain and bad fatigue going back to bed
66,0,more bad news about  
67,0,"anyone have side effects after their first  vaccine
no just me
really looking forward to the nd one then  "
68,1,so i just woke up been  hours after my moderna vaccine  shot i feel fine except for fatigue i am exhausted and a slight headache and slight body ache so far no big deal longest sleep ive had in some time   
69,0,"do you think the wealthy and powerful are taking a new vaccine that modifies their dna for a virus that has a  survival rate and that  calls a operating system

"
70,1,"people are literally dying unvaxxed in canada because 

 doesnt want to give putin a win   
we could even make it ourselves 
 a dose  efficacious stores in a normal fridge  "
71,0," icymi  authorities seized a batch of nearly  fake  vaccines developed by the russian direct investment fund at campeche international airport the mexican government revealed on thursday

 "
72,0,    i had a reaction to the  vaccinemassive body aches
73,0,"ppl being near the vaccinated are reporting heavy periods for  weeks with blood clots 
the vaccines shed
stay away from the vaccinated
  "
74,1,bharat biotech covaxin shows  percent overall interim efficacy  percent efficacy against severe covid         
75,1,second vaccine  thanks    
76,0,extremely bodytired brain is kinda foggy couple aches and the shoulder is throbbing a bit when i make certain movements itees a small price to pay to be  with the  
77,1,got my second dose of the   today 
78,1," which recently published the results of its phase trials has cleared another hurdle

"
79,0,"ieeve been feeling really rather poorly but my body is hard at work making stuff to protect me yay for that 

 "
80,0,"an israeli study says  variant discovered in  can break through   vaccine to some extent

this means vaccine is less effective against the south african variant compared with original variant


"
81,0, my parents took   my father had severe body pain for about  hours he was fine after that
82,1," vaccine  volunteer to test the safety of the    
"
83,0,watching leftists defend   and make excuses for side effects like the  is just perfect
